name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Fernando de Noronha,2/3/2022,31,25,27.9,37.7,25,31.1,24.2,80.7,1.8,100,29.17,rain,0,0,30.2,25.9,131.6,1011.6,56.6,10,301.2,25.8,10,30,2022-02-03T06:15:27,2022-02-03T18:31:29,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,2/4/2022,31,26,28,36.5,26,31.2,23.5,76.8,1,100,25,rain,0,0,31,25.9,124,1011.3,56.9,10,286.4,24.7,9,30,2022-02-04T06:15:38,2022-02-04T18:31:30,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,2/5/2022,31,25,27.7,36.5,25,30.1,23,76.1,0.9,100,25,rain,0,0,27.7,24.1,123.5,1011.2,48.2,10,304.5,26.2,10,30,2022-02-05T06:15:49,2022-02-05T18:31:29,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,82400099999"
Fernando de Noronha,2/6/2022,31,26,28,36.5,26,30.6,23.3,76,0.6,100,20.83,rain,0,0,25.9,22.3,118.6,1011.6,43.5,10,300.9,26.1,10,30,2022-02-06T06:15:59,2022-02-06T18:31:28,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,2/7/2022,32,26,28.1,37.9,26,31.3,23.6,76.9,0.4,100,12.5,rain,0,0,27,25.9,124,1011.4,52.6,10,312.7,26.8,10,30,2022-02-07T06:16:08,2022-02-07T18:31:25,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,2/8/2022,31,25,27.9,35.4,25,30.1,22.5,72.8,0,0,0,,0,0,26.6,25.9,123.4,1010.8,39.6,10,311.9,27,10,10,2022-02-08T06:16:16,2022-02-08T18:31:22,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBFN,82400099999"
Fernando de Noronha,2/9/2022,32,26,28,36.7,26,30,22.8,74,0.1,100,4.17,rain,0,0,24.5,20.5,115.6,1010.1,33.7,10,248.1,21.4,7,10,2022-02-09T06:16:24,2022-02-09T18:31:18,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBFN,82400099999"
Fernando de Noronha,2/10/2022,28,24,26.1,31.2,24,27.1,23.6,86.3,11.2,100,66.67,rain,0,0,38.9,22.3,124.6,1010.4,49.2,9.8,290.3,25.1,10,30,2022-02-10T06:16:31,2022-02-10T18:31:13,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,2/11/2022,29,24,26.6,34.5,24,28.5,24,85.9,7.6,100,66.67,rain,0,0,37.1,24.1,119.5,1010.5,72.2,9.8,193.3,16.6,6,30,2022-02-11T06:16:37,2022-02-11T18:31:07,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,2/12/2022,31,25,27.7,37.7,25,30.9,24.3,81.7,6.3,100,54.17,rain,0,0,27.7,20.5,104.2,1010.8,48.8,10,302.1,26.1,10,30,2022-02-12T06:16:42,2022-02-12T18:31:01,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
